Wavenumber;HDPE;PS
1589.0568;93.5987;97.095
1590.9852;93.3907;96.9868
1592.9137;92.9828;96.7674
1594.8422;92.4196;96.4581
1596.7706;91.8327;96.1286
1598.6991;91.3981;95.8759
1600.6276;91.2698;95.7878
1602.556;91.5199;95.909
1604.4845;92.107;96.2226
1606.413;92.8949;96.6569
1608.3414;93.7113;97.1176
1610.2699;94.4142;97.5236
1612.1984;94.9296;97.8293
1614.1268;95.253;98.0271
1616.0553;95.4272;98.1361
1617.9838;95.51;98.186
1619.9122;95.5475;98.2033
1621.8407;95.5635;98.2046
1623.7692;95.5657;98.1985
1625.6976;95.5585;98.19
1627.6261;95.5482;98.1829
1629.5546;95.5411;98.1786
1631.483;95.5392;98.1755
1633.4115;95.5371;98.1683
1635.34;95.5243;98.1514
1637.2684;95.4927;98.1232
1639.1969;95.4435;98.0874
1641.1254;95.3849;98.0496
1643.0538;95.3273;98.0138
1644.9823;95.2801;97.9822
1646.9108;95.2532;97.958
1648.8392;95.254;97.9475
1650.7677;95.2794;97.9571
1652.6962;95.3115;97.9842
1654.6246;95.3311;98.016
1656.5531;95.3325;98.041
1658.4816;95.3217;98.0554
1660.41;95.307;98.0608
1662.3385;95.2948;98.0599
1664.267;95.2893;98.0552
1666.1954;95.2921;98.0495
1668.1239;95.3024;98.0459
1670.0524;95.3164;98.048
1671.9808;95.3302;98.0566
1673.9093;95.3417;98.0698
1675.8378;95.3527;98.0838
1677.7662;95.3666;98.0953
1679.6947;95.387;98.1023
1681.6232;95.4148;98.1053
1683.5516;95.4451;98.1071
1685.4801;95.4697;98.1113
1687.4086;95.483;98.1195
1689.337;95.4863;98.1306
1691.2655;95.485;98.1425
1693.194;95.4854;98.153
1695.1224;95.4933;98.1599
1697.0509;95.5115;98.1616
1698.9794;95.5352;98.1587
1700.9078;95.5528;98.1539
1702.8363;95.5561;98.1499
1704.7648;95.5461;98.1472
1706.6932;95.529;98.1449
1708.6217;95.5106;98.1415
1710.5502;95.4954;98.1358
1712.4786;95.4866;98.1268
1714.4071;95.4845;98.1153
1716.3356;95.484;98.1042
1718.264;95.4769;98.0973
1720.1925;95.4584;98.0954
1722.121;95.4306;98.0961
1724.0494;95.3985;98.096
1725.9779;95.3663;98.092
1727.9064;95.3361;98.0817
1729.8348;95.3087;98.0632
1731.7633;95.2825;98.0371
1733.6918;95.254;98.0078
1735.6202;95.2213;97.9812
1737.5487;95.1865;97.9609
1739.4772;95.1538;97.946
1741.4056;95.1278;97.9344
1743.3341;95.112;97.9258
1745.2626;95.1097;97.9217
1747.191;95.1219;97.9252
1749.1195;95.1468;97.9383
1751.048;95.1803;97.9606
1752.9764;95.2188;97.9895
1754.9049;95.2604;98.0222
1756.8334;95.3042;98.0568
1758.7618;95.3483;98.0915
1760.6903;95.3897;98.1236
